,miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez Gene ID),Species (Target Gene),Experiments,Support Type,References (PMID)
6635,MIRT006693,hsa-miR-103a-3p,Homo sapiens,PTEN,5728.0,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,24828205
6636,MIRT006693,hsa-miR-103a-3p,Homo sapiens,PTEN,5728.0,Homo sapiens,Western blot,Non-Functional MTI,22593189
6925,MIRT006955,hsa-miR-103a-3p,Homo sapiens,CYP2C8,1558.0,Homo sapiens,qRT-PCR//Western blot,Functional MTI,22723340
6971,MIRT006991,hsa-miR-103a-3p,Homo sapiens,TIMP3,7078.0,Homo sapiens,Luciferase reporter assay,Functional MTI,22783422
7051,MIRT007062,hsa-miR-103a-3p,Homo sapiens,ID2,3398.0,Homo sapiens,Immunoblot//Immunohistochemistry//Luciferase reporter assay//Northern blot//qRT-PCR,Functional MTI,22848373
19145,MIRT026982,hsa-miR-103a-3p,Homo sapiens,SCAF1,58506.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19146,MIRT026983,hsa-miR-103a-3p,Homo sapiens,NSF,4905.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19147,MIRT026984,hsa-miR-103a-3p,Homo sapiens,ARF6,382.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19148,MIRT026985,hsa-miR-103a-3p,Homo sapiens,MEX3C,51320.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19149,MIRT026986,hsa-miR-103a-3p,Homo sapiens,MTF1,4520.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19150,MIRT026987,hsa-miR-103a-3p,Homo sapiens,ING1,3621.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19151,MIRT026988,hsa-miR-103a-3p,Homo sapiens,ZBTB8A,653121.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19152,MIRT026989,hsa-miR-103a-3p,Homo sapiens,SPATS2,65244.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19153,MIRT026990,hsa-miR-103a-3p,Homo sapiens,EDC3,80153.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19154,MIRT026991,hsa-miR-103a-3p,Homo sapiens,SYS1,90196.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19155,MIRT026992,hsa-miR-103a-3p,Homo sapiens,ZNF606,80095.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19156,MIRT026992,hsa-miR-103a-3p,Homo sapiens,ZNF606,80095.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),24398324
19157,MIRT026993,hsa-miR-103a-3p,Homo sapiens,LPHN1,22859.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19158,MIRT026994,hsa-miR-103a-3p,Homo sapiens,FLCN,201163.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19159,MIRT026995,hsa-miR-103a-3p,Homo sapiens,SLC52A2,79581.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19160,MIRT026996,hsa-miR-103a-3p,Homo sapiens,IVNS1ABP,10625.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19161,MIRT026997,hsa-miR-103a-3p,Homo sapiens,OIP5,11339.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19162,MIRT026998,hsa-miR-103a-3p,Homo sapiens,CEP55,55165.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19163,MIRT026999,hsa-miR-103a-3p,Homo sapiens,KATNAL1,84056.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19164,MIRT027000,hsa-miR-103a-3p,Homo sapiens,TMEM100,55273.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19165,MIRT027001,hsa-miR-103a-3p,Homo sapiens,SLC39A10,57181.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19166,MIRT027002,hsa-miR-103a-3p,Homo sapiens,RPS6KB1,6198.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19167,MIRT027002,hsa-miR-103a-3p,Homo sapiens,RPS6KB1,6198.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),24398324
19168,MIRT027003,hsa-miR-103a-3p,Homo sapiens,BFAR,51283.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19169,MIRT027004,hsa-miR-103a-3p,Homo sapiens,NIN,51199.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19170,MIRT027005,hsa-miR-103a-3p,Homo sapiens,STK40,83931.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19171,MIRT027006,hsa-miR-103a-3p,Homo sapiens,ZRANB1,54764.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19172,MIRT027007,hsa-miR-103a-3p,Homo sapiens,ENPP4,22875.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19173,MIRT027008,hsa-miR-103a-3p,Homo sapiens,KLHL18,23276.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19174,MIRT027009,hsa-miR-103a-3p,Homo sapiens,C20orf27,54976.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19175,MIRT027010,hsa-miR-103a-3p,Homo sapiens,KCNG3,170850.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19176,MIRT027011,hsa-miR-103a-3p,Homo sapiens,MAP3K7,6885.0,Homo sapiens,Sequencing//PAR-CLIP,Functional MTI (Weak),20371350
19177,MIRT027011,hsa-miR-103a-3p,Homo sapiens,MAP3K7,6885.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
19178,MIRT027012,hsa-miR-103a-3p,Homo sapiens,CAAP1,79886.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19179,MIRT027013,hsa-miR-103a-3p,Homo sapiens,ATG9A,79065.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19180,MIRT027014,hsa-miR-103a-3p,Homo sapiens,KIF5B,3799.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19181,MIRT027015,hsa-miR-103a-3p,Homo sapiens,SMAD7,4092.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19182,MIRT027016,hsa-miR-103a-3p,Homo sapiens,FAM171A1,221061.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19183,MIRT027017,hsa-miR-103a-3p,Homo sapiens,ZNRF3,84133.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19184,MIRT027018,hsa-miR-103a-3p,Homo sapiens,CDC25A,993.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19185,MIRT027019,hsa-miR-103a-3p,Homo sapiens,SDCBP,6386.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19186,MIRT027020,hsa-miR-103a-3p,Homo sapiens,LATS1,9113.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19187,MIRT027021,hsa-miR-103a-3p,Homo sapiens,GATAD2A,54815.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19188,MIRT027022,hsa-miR-103a-3p,Homo sapiens,IGSF3,3321.0,Homo sapiens,Sequencing//PAR-CLIP,Functional MTI (Weak),20371350
19189,MIRT027022,hsa-miR-103a-3p,Homo sapiens,IGSF3,3321.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),24398324
19190,MIRT027023,hsa-miR-103a-3p,Homo sapiens,ABL2,27.0,Homo sapiens,Sequencing//PAR-CLIP,Functional MTI (Weak),20371350
19191,MIRT027023,hsa-miR-103a-3p,Homo sapiens,ABL2,27.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
19192,MIRT027023,hsa-miR-103a-3p,Homo sapiens,ABL2,27.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
19193,MIRT027023,hsa-miR-103a-3p,Homo sapiens,ABL2,27.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),24398324
19194,MIRT027024,hsa-miR-103a-3p,Homo sapiens,PRDM4,11108.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19195,MIRT027025,hsa-miR-103a-3p,Homo sapiens,GOPC,57120.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19196,MIRT027026,hsa-miR-103a-3p,Homo sapiens,LUZP1,7798.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19197,MIRT027027,hsa-miR-103a-3p,Homo sapiens,HNRNPA2B1,3181.0,Homo sapiens,Sequencing//PAR-CLIP,Functional MTI (Weak),20371350
19198,MIRT027028,hsa-miR-103a-3p,Homo sapiens,RIMS3,9783.0,Homo sapiens,Sequencing//PAR-CLIP,Functional MTI (Weak),20371350
19199,MIRT027028,hsa-miR-103a-3p,Homo sapiens,RIMS3,9783.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
19200,MIRT027028,hsa-miR-103a-3p,Homo sapiens,RIMS3,9783.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
19201,MIRT027029,hsa-miR-103a-3p,Homo sapiens,UBN2,254048.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19202,MIRT027030,hsa-miR-103a-3p,Homo sapiens,AVL9,23080.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19203,MIRT027031,hsa-miR-103a-3p,Homo sapiens,SIPA1L2,57568.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19204,MIRT027032,hsa-miR-103a-3p,Homo sapiens,NDEL1,81565.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19205,MIRT027033,hsa-miR-103a-3p,Homo sapiens,SUN2,25777.0,Homo sapiens,Sequencing//PAR-CLIP,Functional MTI (Weak),20371350
19206,MIRT027033,hsa-miR-103a-3p,Homo sapiens,SUN2,25777.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
19207,MIRT027034,hsa-miR-103a-3p,Homo sapiens,SALL1,6299.0,Homo sapiens,Sequencing//PAR-CLIP,Functional MTI (Weak),20371350
19208,MIRT027034,hsa-miR-103a-3p,Homo sapiens,SALL1,6299.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
19209,MIRT027035,hsa-miR-103a-3p,Homo sapiens,ZNRF2,223082.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19210,MIRT027036,hsa-miR-103a-3p,Homo sapiens,DNAJB4,11080.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19211,MIRT027037,hsa-miR-103a-3p,Homo sapiens,YTHDC1,91746.0,Homo sapiens,Sequencing//PAR-CLIP,Functional MTI (Weak),20371350
19212,MIRT027037,hsa-miR-103a-3p,Homo sapiens,YTHDC1,91746.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
19213,MIRT027037,hsa-miR-103a-3p,Homo sapiens,YTHDC1,91746.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
19214,MIRT027038,hsa-miR-103a-3p,Homo sapiens,N4BP1,9683.0,Homo sapiens,Sequencing//PAR-CLIP,Functional MTI (Weak),20371350
19215,MIRT027039,hsa-miR-103a-3p,Homo sapiens,ATP13A3,79572.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19216,MIRT027039,hsa-miR-103a-3p,Homo sapiens,ATP13A3,79572.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
19217,MIRT027040,hsa-miR-103a-3p,Homo sapiens,ZHX1,11244.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19218,MIRT027041,hsa-miR-103a-3p,Homo sapiens,ZBTB34,403341.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19219,MIRT027042,hsa-miR-103a-3p,Homo sapiens,INSIG1,3638.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19220,MIRT027043,hsa-miR-103a-3p,Homo sapiens,SRSF1,6426.0,Homo sapiens,Sequencing//PAR-CLIP,Functional MTI (Weak),20371350
19221,MIRT027043,hsa-miR-103a-3p,Homo sapiens,SRSF1,6426.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
19222,MIRT027043,hsa-miR-103a-3p,Homo sapiens,SRSF1,6426.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
19223,MIRT027044,hsa-miR-103a-3p,Homo sapiens,IFT74,80173.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19224,MIRT027045,hsa-miR-103a-3p,Homo sapiens,MIS18BP1,55320.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19225,MIRT027045,hsa-miR-103a-3p,Homo sapiens,MIS18BP1,55320.0,Homo sapiens,PAR-CLIP//HITS-CLIP,Functional MTI (Weak),21572407
19226,MIRT027046,hsa-miR-103a-3p,Homo sapiens,RIF1,55183.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19227,MIRT027047,hsa-miR-103a-3p,Homo sapiens,LARP4B,23185.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19228,MIRT027048,hsa-miR-103a-3p,Homo sapiens,STAMBPL1,57559.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19229,MIRT027049,hsa-miR-103a-3p,Homo sapiens,PHC3,80012.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19230,MIRT027050,hsa-miR-103a-3p,Homo sapiens,BCKDK,10295.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19231,MIRT027051,hsa-miR-103a-3p,Homo sapiens,C11orf58,10944.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19232,MIRT027052,hsa-miR-103a-3p,Homo sapiens,CITED2,10370.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19233,MIRT027053,hsa-miR-103a-3p,Homo sapiens,YAF2,10138.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19234,MIRT027053,hsa-miR-103a-3p,Homo sapiens,YAF2,10138.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
19235,MIRT027054,hsa-miR-103a-3p,Homo sapiens,LAMP2,3920.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19236,MIRT027055,hsa-miR-103a-3p,Homo sapiens,FAM98A,25940.0,Homo sapiens,Sequencing//PAR-CLIP,Functional MTI (Weak),20371350
19237,MIRT027055,hsa-miR-103a-3p,Homo sapiens,FAM98A,25940.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
19238,MIRT027055,hsa-miR-103a-3p,Homo sapiens,FAM98A,25940.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
19239,MIRT027055,hsa-miR-103a-3p,Homo sapiens,FAM98A,25940.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),24398324
19240,MIRT027056,hsa-miR-103a-3p,Homo sapiens,C7orf55,154791.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19241,MIRT027057,hsa-miR-103a-3p,Homo sapiens,NUFIP2,57532.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19242,MIRT027058,hsa-miR-103a-3p,Homo sapiens,USP42,84132.0,Homo sapiens,Sequencing//PAR-CLIP,Functional MTI (Weak),20371350
19243,MIRT027058,hsa-miR-103a-3p,Homo sapiens,USP42,84132.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
19244,MIRT027058,hsa-miR-103a-3p,Homo sapiens,USP42,84132.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
19245,MIRT027059,hsa-miR-103a-3p,Homo sapiens,ARL4C,10123.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19246,MIRT027060,hsa-miR-103a-3p,Homo sapiens,FURIN,5045.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19247,MIRT027060,hsa-miR-103a-3p,Homo sapiens,FURIN,5045.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
19248,MIRT027061,hsa-miR-103a-3p,Homo sapiens,FAM122B,159090.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19249,MIRT027062,hsa-miR-103a-3p,Homo sapiens,SLC25A39,51629.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19250,MIRT027063,hsa-miR-103a-3p,Homo sapiens,TLE4,7091.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19251,MIRT027064,hsa-miR-103a-3p,Homo sapiens,CDV3,55573.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19252,MIRT027064,hsa-miR-103a-3p,Homo sapiens,CDV3,55573.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
19253,MIRT027065,hsa-miR-103a-3p,Homo sapiens,AEBP2,121536.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19254,MIRT027066,hsa-miR-103a-3p,Homo sapiens,YIF1B,90522.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19255,MIRT027067,hsa-miR-103a-3p,Homo sapiens,FAM122A,116224.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19256,MIRT027068,hsa-miR-103a-3p,Homo sapiens,FAM89A,375061.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19257,MIRT027069,hsa-miR-103a-3p,Homo sapiens,HOXA3,3200.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19258,MIRT027070,hsa-miR-103a-3p,Homo sapiens,ITM2C,81618.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19259,MIRT027071,hsa-miR-103a-3p,Homo sapiens,SVIP,258010.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19260,MIRT027072,hsa-miR-103a-3p,Homo sapiens,DMTF1,9988.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19261,MIRT027073,hsa-miR-103a-3p,Homo sapiens,HIST2H2BE,8349.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19262,MIRT027074,hsa-miR-103a-3p,Homo sapiens,HOXC10,3226.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19263,MIRT027075,hsa-miR-103a-3p,Homo sapiens,VEZT,55591.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19264,MIRT027076,hsa-miR-103a-3p,Homo sapiens,GLRX,2745.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19265,MIRT027077,hsa-miR-103a-3p,Homo sapiens,SIRT4,23409.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19266,MIRT027078,hsa-miR-103a-3p,Homo sapiens,RECK,8434.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19267,MIRT027079,hsa-miR-103a-3p,Homo sapiens,ATP5G3,518.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19268,MIRT027080,hsa-miR-103a-3p,Homo sapiens,SON,6651.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19269,MIRT027081,hsa-miR-103a-3p,Homo sapiens,SLC6A9,6536.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19270,MIRT027082,hsa-miR-103a-3p,Homo sapiens,PRKAR2A,5576.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19271,MIRT027083,hsa-miR-103a-3p,Homo sapiens,MYO5A,4644.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19272,MIRT027084,hsa-miR-103a-3p,Homo sapiens,AADAT,51166.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19273,MIRT027085,hsa-miR-103a-3p,Homo sapiens,PPP1R12C,54776.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19274,MIRT027086,hsa-miR-103a-3p,Homo sapiens,RPRD1B,58490.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19275,MIRT027087,hsa-miR-103a-3p,Homo sapiens,PDE4D,5144.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19276,MIRT027088,hsa-miR-103a-3p,Homo sapiens,ABCF2,10061.0,Homo sapiens,Sequencing//PAR-CLIP,Functional MTI (Weak),20371350
19277,MIRT027088,hsa-miR-103a-3p,Homo sapiens,ABCF2,10061.0,Homo sapiens,PAR-CLIP//HITS-CLIP,Functional MTI (Weak),21572407
19278,MIRT027088,hsa-miR-103a-3p,Homo sapiens,ABCF2,10061.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
19279,MIRT027088,hsa-miR-103a-3p,Homo sapiens,ABCF2,10061.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),24398324
19280,MIRT027089,hsa-miR-103a-3p,Homo sapiens,ANKFY1,51479.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19281,MIRT027089,hsa-miR-103a-3p,Homo sapiens,ANKFY1,51479.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
19282,MIRT027090,hsa-miR-103a-3p,Homo sapiens,GABARAPL1,23710.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19283,MIRT027091,hsa-miR-103a-3p,Homo sapiens,AP2A1,160.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19284,MIRT027092,hsa-miR-103a-3p,Homo sapiens,PPP6R3,55291.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19285,MIRT027092,hsa-miR-103a-3p,Homo sapiens,PPP6R3,55291.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
19286,MIRT027093,hsa-miR-103a-3p,Homo sapiens,G3BP2,9908.0,Homo sapiens,Sequencing//PAR-CLIP,Functional MTI (Weak),20371350
19287,MIRT027093,hsa-miR-103a-3p,Homo sapiens,G3BP2,9908.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
19288,MIRT027093,hsa-miR-103a-3p,Homo sapiens,G3BP2,9908.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
19289,MIRT027094,hsa-miR-103a-3p,Homo sapiens,SAV1,60485.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19290,MIRT027095,hsa-miR-103a-3p,Homo sapiens,PPP1R11,6992.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19291,MIRT027096,hsa-miR-103a-3p,Homo sapiens,RAB1B,81876.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19292,MIRT027097,hsa-miR-103a-3p,Homo sapiens,KPNA1,3836.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19293,MIRT027098,hsa-miR-103a-3p,Homo sapiens,SLC35B2,347734.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19294,MIRT027099,hsa-miR-103a-3p,Homo sapiens,SMARCE1,6605.0,Homo sapiens,Sequencing//PAR-CLIP,Functional MTI (Weak),20371350
19295,MIRT027099,hsa-miR-103a-3p,Homo sapiens,SMARCE1,6605.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
19296,MIRT027099,hsa-miR-103a-3p,Homo sapiens,SMARCE1,6605.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
19297,MIRT027100,hsa-miR-103a-3p,Homo sapiens,CYB561A3,220002.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19298,MIRT027101,hsa-miR-103a-3p,Homo sapiens,CARD10,29775.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19299,MIRT027102,hsa-miR-103a-3p,Homo sapiens,PROSC,11212.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19300,MIRT027103,hsa-miR-103a-3p,Homo sapiens,ACVR2B,93.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19301,MIRT027103,hsa-miR-103a-3p,Homo sapiens,ACVR2B,93.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
19302,MIRT027104,hsa-miR-103a-3p,Homo sapiens,TMCC1,23023.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19303,MIRT027105,hsa-miR-103a-3p,Homo sapiens,CLIP1,6249.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19304,MIRT027105,hsa-miR-103a-3p,Homo sapiens,CLIP1,6249.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
19305,MIRT027106,hsa-miR-103a-3p,Homo sapiens,SNX16,64089.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19306,MIRT027107,hsa-miR-103a-3p,Homo sapiens,CUL4A,8451.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19307,MIRT027108,hsa-miR-103a-3p,Homo sapiens,ARL3,403.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19308,MIRT027109,hsa-miR-103a-3p,Homo sapiens,ATG14,22863.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19309,MIRT027109,hsa-miR-103a-3p,Homo sapiens,ATG14,22863.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
19310,MIRT027110,hsa-miR-103a-3p,Homo sapiens,DYRK2,8445.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19311,MIRT027110,hsa-miR-103a-3p,Homo sapiens,DYRK2,8445.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),21572407
19312,MIRT027110,hsa-miR-103a-3p,Homo sapiens,DYRK2,8445.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
19313,MIRT027111,hsa-miR-103a-3p,Homo sapiens,ZNF622,90441.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19314,MIRT027112,hsa-miR-103a-3p,Homo sapiens,TMEM55B,90809.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19315,MIRT027113,hsa-miR-103a-3p,Homo sapiens,RNMT,8731.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
19316,MIRT027114,hsa-miR-103a-3p,Homo sapiens,MTHFR,4524.0,Homo sapiens,Sequencing,Functional MTI (Weak),20371350
