,miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez Gene ID),Species (Target Gene),Experiments,Support Type,References (PMID)
64766,MIRT153689,hsa-miR-126-5p,Homo sapiens,NCOA3,8202.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
65073,MIRT156592,hsa-miR-126-5p,Homo sapiens,COQ10B,80219.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22291592
66703,MIRT175235,hsa-miR-126-5p,Homo sapiens,PSAT1,29968.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
66704,MIRT175235,hsa-miR-126-5p,Homo sapiens,PSAT1,29968.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
69024,MIRT191127,hsa-miR-126-5p,Homo sapiens,L2HGDH,79944.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
69025,MIRT191127,hsa-miR-126-5p,Homo sapiens,L2HGDH,79944.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
69026,MIRT191127,hsa-miR-126-5p,Homo sapiens,L2HGDH,79944.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
69617,MIRT195287,hsa-miR-126-5p,Homo sapiens,LEPROT,54741.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
69764,MIRT195903,hsa-miR-126-5p,Homo sapiens,SRSF11,9295.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
71494,MIRT210755,hsa-miR-126-5p,Homo sapiens,CHMP2B,25978.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
72075,MIRT214865,hsa-miR-126-5p,Homo sapiens,NR3C1,2908.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
72405,MIRT216426,hsa-miR-126-5p,Homo sapiens,SERF1A,8293.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
72427,MIRT216451,hsa-miR-126-5p,Homo sapiens,SERF1B,728492.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
72477,MIRT217321,hsa-miR-126-5p,Homo sapiens,FOXO3,2309.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
72478,MIRT217321,hsa-miR-126-5p,Homo sapiens,FOXO3,2309.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
73838,MIRT235592,hsa-miR-126-5p,Homo sapiens,POFUT1,23509.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
73865,MIRT236107,hsa-miR-126-5p,Homo sapiens,MYCN,4613.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
74186,MIRT241076,hsa-miR-126-5p,Homo sapiens,ZXDA,7789.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
76364,MIRT259362,hsa-miR-126-5p,Homo sapiens,VMA21,203547.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
76591,MIRT261131,hsa-miR-126-5p,Homo sapiens,TRIM8,81603.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
77428,MIRT269705,hsa-miR-126-5p,Homo sapiens,ELK4,2005.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
77429,MIRT269705,hsa-miR-126-5p,Homo sapiens,ELK4,2005.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
77690,MIRT273037,hsa-miR-126-5p,Homo sapiens,ZBTB18,10472.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
77691,MIRT273037,hsa-miR-126-5p,Homo sapiens,ZBTB18,10472.0,Homo sapiens,PAR-CLIP//HITS-CLIP,Functional MTI (Weak),21572407
78269,MIRT281353,hsa-miR-126-5p,Homo sapiens,TMOD3,29766.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
78270,MIRT281353,hsa-miR-126-5p,Homo sapiens,TMOD3,29766.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
78973,MIRT291515,hsa-miR-126-5p,Homo sapiens,VAPA,9218.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
79722,MIRT298275,hsa-miR-126-5p,Homo sapiens,SON,6651.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
79740,MIRT299108,hsa-miR-126-5p,Homo sapiens,CSRNP3,80034.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
80471,MIRT306692,hsa-miR-126-5p,Homo sapiens,TFRC,7037.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
82388,MIRT328572,hsa-miR-126-5p,Homo sapiens,GALNT4,8693.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
82389,MIRT328576,hsa-miR-126-5p,Homo sapiens,POC1B-GALNT4,100528030.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
83804,MIRT352040,hsa-miR-126-5p,Homo sapiens,BZW1,9689.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
85279,MIRT377904,hsa-miR-126-5p,Homo sapiens,LIN54,132660.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
85305,MIRT378580,hsa-miR-126-5p,Homo sapiens,COL19A1,1310.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
85407,MIRT380515,hsa-miR-126-5p,Homo sapiens,SLC12A6,9990.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
87574,MIRT438175,hsa-miR-126-3p,Homo sapiens,CD97,976.0,Homo sapiens,FACS//Flow//GFP reporter assay//Luciferase reporter assay//qRT-PCR,Functional MTI,24274104
87587,MIRT438192,hsa-miR-126-3p,Homo sapiens,TCF4,6925.0,Homo sapiens,Luciferase reporter assay,Functional MTI,24190507
87790,MIRT438412,hsa-miR-126-3p,Homo sapiens,Cdkn1b,83571.0,Homo sapiens,Immunoblot//qRT-PCR,Functional MTI (Weak),25133421
87897,MIRT438574,hsa-miR-126-3p,Homo sapiens,RHOU,58480.0,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,23811937
87898,MIRT438575,hsa-miR-126-3p,Homo sapiens,LRP6,4040.0,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,23811937
87908,MIRT438600,hsa-miR-126-3p,Homo sapiens,ADM,133.0,Homo sapiens,Luciferase reporter assay,Functional MTI,24037526
87926,MIRT438621,hsa-miR-126-5p,Homo sapiens,MYC,4609.0,Homo sapiens,Immunoblot//Luciferase reporter assay//qRT-PCR,Functional MTI,22972034
87950,MIRT438651,hsa-miR-126-3p,Homo sapiens,SIRT1,23411.0,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,23877372
88035,MIRT438759,hsa-miR-126-3p,Homo sapiens,NFKBIA,4792.0,Homo sapiens,Immunofluorescence//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,23285182
124761,MIRT467404,hsa-miR-126-5p,Homo sapiens,SOCS3,9021.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
124949,MIRT467528,hsa-miR-126-5p,Homo sapiens,SMG1,23049.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
124950,MIRT467528,hsa-miR-126-5p,Homo sapiens,SMG1,23049.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
129225,MIRT470551,hsa-miR-126-5p,Homo sapiens,COASY,80347.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
132056,MIRT472617,hsa-miR-126-5p,Homo sapiens,NAA50,80218.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
135723,MIRT475072,hsa-miR-126-5p,Homo sapiens,ITSN2,50618.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
135724,MIRT475072,hsa-miR-126-5p,Homo sapiens,ITSN2,50618.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),24398324
147049,MIRT482272,hsa-miR-126-5p,Homo sapiens,AGO2,27161.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
163661,MIRT492359,hsa-miR-126-5p,Homo sapiens,SEMA7A,8482.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
166924,MIRT494483,hsa-miR-126-5p,Homo sapiens,BRWD3,254065.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
174698,MIRT499844,hsa-miR-126-5p,Homo sapiens,AVPR1A,552.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
174699,MIRT499844,hsa-miR-126-5p,Homo sapiens,AVPR1A,552.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),24398324
179628,MIRT501935,hsa-miR-126-5p,Homo sapiens,MBD2,8932.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
179629,MIRT501935,hsa-miR-126-5p,Homo sapiens,MBD2,8932.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
179630,MIRT501935,hsa-miR-126-5p,Homo sapiens,MBD2,8932.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
179631,MIRT501935,hsa-miR-126-5p,Homo sapiens,MBD2,8932.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),24398324
179732,MIRT501965,hsa-miR-126-5p,Homo sapiens,MAPK8,5599.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),24398324
183030,MIRT503246,hsa-miR-126-5p,Homo sapiens,ZFP36,7538.0,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
183031,MIRT503246,hsa-miR-126-5p,Homo sapiens,ZFP36,7538.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
184525,MIRT503962,hsa-miR-126-5p,Homo sapiens,ZNF180,7733.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
184526,MIRT503962,hsa-miR-126-5p,Homo sapiens,ZNF180,7733.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
184527,MIRT503962,hsa-miR-126-5p,Homo sapiens,ZNF180,7733.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
187658,MIRT505388,hsa-miR-126-5p,Homo sapiens,TMEM100,55273.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
198915,MIRT510368,hsa-miR-126-5p,Homo sapiens,ZNF703,80139.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
198916,MIRT510368,hsa-miR-126-5p,Homo sapiens,ZNF703,80139.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
198917,MIRT510368,hsa-miR-126-5p,Homo sapiens,ZNF703,80139.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
203118,MIRT512216,hsa-miR-126-5p,Homo sapiens,C18orf25,147339.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
203119,MIRT512216,hsa-miR-126-5p,Homo sapiens,C18orf25,147339.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
208053,MIRT515221,hsa-miR-126-5p,Homo sapiens,GRIK5,2901.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
214944,MIRT519869,hsa-miR-126-5p,Homo sapiens,ZFP62,643836.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
214945,MIRT519869,hsa-miR-126-5p,Homo sapiens,ZFP62,643836.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
214946,MIRT519869,hsa-miR-126-5p,Homo sapiens,ZFP62,643836.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
218221,MIRT521870,hsa-miR-126-5p,Homo sapiens,PLAG1,5324.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
218222,MIRT521870,hsa-miR-126-5p,Homo sapiens,PLAG1,5324.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
218223,MIRT521870,hsa-miR-126-5p,Homo sapiens,PLAG1,5324.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
218224,MIRT521870,hsa-miR-126-5p,Homo sapiens,PLAG1,5324.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
218886,MIRT522187,hsa-miR-126-5p,Homo sapiens,NR2C2,7182.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),20371350
218887,MIRT522187,hsa-miR-126-5p,Homo sapiens,NR2C2,7182.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
218888,MIRT522187,hsa-miR-126-5p,Homo sapiens,NR2C2,7182.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
221921,MIRT523974,hsa-miR-126-5p,Homo sapiens,DVL3,1857.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23446348
226747,MIRT527649,hsa-miR-126-3p,Homo sapiens,KCNJ1,3758.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
227357,MIRT528240,hsa-miR-126-5p,Homo sapiens,SPIN4,139886.0,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22012620
