No.,miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez Gene ID),Species (Target Gene),Experiments,Support Type,References (PMID)
159605,MIRT482580,hsa-miR-15b-5p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
43292,MIRT051282,hsa-miR-16-5p,Homo sapiens,ABHD2,11057,Homo sapiens,CLASH,Functional MTI (Weak),23622248
43293,MIRT051282,hsa-miR-16-5p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
52036,MIRT073373,hsa-miR-17-5p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),22473208
159595,MIRT482570,hsa-miR-1827,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
100862,MIRT446420,hsa-miR-186-5p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
159604,MIRT482579,hsa-miR-195-5p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
274161,MIRT549503,hsa-miR-196a-5p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
274160,MIRT549502,hsa-miR-196b-5p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
369188,MIRT660988,hsa-miR-1976,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
52037,MIRT073374,hsa-miR-20a-5p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),22473208
52042,MIRT073382,hsa-miR-20b-5p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),22473208
369190,MIRT660990,hsa-miR-2116-3p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
95036,MIRT441305,hsa-miR-218-5p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23212916
369186,MIRT660986,hsa-miR-23a-5p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
369185,MIRT660985,hsa-miR-23b-5p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
63525,MIRT115232,hsa-miR-24-3p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
159594,MIRT482569,hsa-miR-2467-3p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
100880,MIRT446436,hsa-miR-26a-1-3p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
100879,MIRT446435,hsa-miR-26a-2-3p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
52038,MIRT073375,hsa-miR-26a-5p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),22473208
52039,MIRT073376,hsa-miR-26b-5p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),22473208
66118,MIRT141571,hsa-miR-3133,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
159614,MIRT482589,hsa-miR-3155a,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
159612,MIRT482587,hsa-miR-3155b,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
100877,MIRT446434,hsa-miR-3161,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
100878,MIRT446434,hsa-miR-3161,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
10627,MIRT018354,hsa-miR-335-5p,Homo sapiens,ABHD2,11057,Homo sapiens,Microarray,Functional MTI (Weak),18185580
418676,MIRT705978,hsa-miR-33a-3p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
82204,MIRT282409,hsa-miR-33a-5p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
82205,MIRT282414,hsa-miR-33b-5p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
369195,MIRT660995,hsa-miR-340-3p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
274162,MIRT549504,hsa-miR-3646,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
369189,MIRT660989,hsa-miR-3653-5p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
159615,MIRT482590,hsa-miR-3919,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
159603,MIRT482578,hsa-miR-424-5p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
159589,MIRT482564,hsa-miR-4271,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
378921,MIRT669696,hsa-miR-4284,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
159601,MIRT482576,hsa-miR-4476,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
82206,MIRT282415,hsa-miR-449c-3p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
159592,MIRT482567,hsa-miR-4533,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
378922,MIRT669697,hsa-miR-4638-5p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
87478,MIRT343050,hsa-miR-4684-3p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
159609,MIRT482584,hsa-miR-4710,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
369180,MIRT660980,hsa-miR-4713-5p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
159588,MIRT482563,hsa-miR-4725-3p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
159591,MIRT482566,hsa-miR-4747-5p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
159613,MIRT482588,hsa-miR-4756-3p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
369187,MIRT660987,hsa-miR-4772-3p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
33374,MIRT041909,hsa-miR-484,Homo sapiens,ABHD2,11057,Homo sapiens,CLASH,Functional MTI (Weak),23622248
33375,MIRT041909,hsa-miR-484,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
63526,MIRT115234,hsa-miR-493-3p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
159602,MIRT482577,hsa-miR-497-5p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
52043,MIRT073383,hsa-miR-498,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
100861,MIRT446419,hsa-miR-514a-3p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
100860,MIRT446418,hsa-miR-514b-3p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
87476,MIRT343048,hsa-miR-518a-5p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
159590,MIRT482565,hsa-miR-5196-5p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
52044,MIRT073387,hsa-miR-519d-3p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),22473208
87477,MIRT343049,hsa-miR-527,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
378924,MIRT669699,hsa-miR-532-3p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
100874,MIRT446432,hsa-miR-548ac,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
100869,MIRT446427,hsa-miR-548ae-3p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
287168,MIRT559766,hsa-miR-548ag,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
100868,MIRT446426,hsa-miR-548ah-3p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
287167,MIRT559765,hsa-miR-548ai,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
100867,MIRT446425,hsa-miR-548aj-3p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
100866,MIRT446424,hsa-miR-548am-3p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
100865,MIRT446423,hsa-miR-548aq-3p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
87479,MIRT343051,hsa-miR-548aw,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
287166,MIRT559764,hsa-miR-548ba,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
100873,MIRT446431,hsa-miR-548bb-3p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
100872,MIRT446430,hsa-miR-548d-3p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
100871,MIRT446429,hsa-miR-548h-3p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
100864,MIRT446422,hsa-miR-548j-3p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
100863,MIRT446421,hsa-miR-548x-3p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
100870,MIRT446428,hsa-miR-548z,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
369197,MIRT660997,hsa-miR-5571-5p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
418674,MIRT705976,hsa-miR-561-5p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
287165,MIRT559763,hsa-miR-570-5p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
100875,MIRT446433,hsa-miR-599,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),22100165
100876,MIRT446433,hsa-miR-599,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
159610,MIRT482585,hsa-miR-6134,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
369178,MIRT660978,hsa-miR-629-3p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
378926,MIRT669701,hsa-miR-6741-3p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
369191,MIRT660991,hsa-miR-6742-3p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
159607,MIRT482582,hsa-miR-6758-5p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
159587,MIRT482562,hsa-miR-6780b-5p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
369181,MIRT660981,hsa-miR-6783-3p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
159598,MIRT482573,hsa-miR-6783-5p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
369194,MIRT660994,hsa-miR-6827-3p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
159593,MIRT482568,hsa-miR-6828-5p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
418675,MIRT705977,hsa-miR-6830-5p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
159600,MIRT482575,hsa-miR-6838-5p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
369192,MIRT660992,hsa-miR-6852-5p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
159616,MIRT482591,hsa-miR-6856-5p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
369179,MIRT660979,hsa-miR-6867-3p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
159599,MIRT482574,hsa-miR-6876-5p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
378927,MIRT669702,hsa-miR-6890-3p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
159611,MIRT482586,hsa-miR-7854-3p,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
418677,MIRT705979,hsa-miR-8080,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
82207,MIRT282419,hsa-miR-8086,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),21572407
159597,MIRT482572,hsa-miR-922,Homo sapiens,ABHD2,11057,Homo sapiens,PAR-CLIP,Functional MTI (Weak),23592263
41396,MIRT049598,hsa-miR-92a-3p,Homo sapiens,ABHD2,11057,Homo sapiens,CLASH,Functional MTI (Weak),23622248
52040,MIRT073377,hsa-miR-93-5p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),22473208
369193,MIRT660993,hsa-miR-939-3p,Homo sapiens,ABHD2,11057,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
2940,MIRT002662,hsa-miR-124-3p,Homo sapiens,ACAA2,10449,Homo sapiens,Microarray//qRT-PCR,Functional MTI (Weak),16549876
2941,MIRT002662,hsa-miR-124-3p,Homo sapiens,ACAA2,10449,Homo sapiens,Microarray,Functional MTI (Weak),15685193
2942,MIRT002662,hsa-miR-124-3p,Homo sapiens,ACAA2,10449,Homo sapiens,Microarray,Functional MTI (Weak),18668037
331981,MIRT626594,hsa-miR-1273h-5p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
331982,MIRT626594,hsa-miR-1273h-5p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
331993,MIRT626600,hsa-miR-143-5p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
331998,MIRT626605,hsa-miR-149-3p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
36627,MIRT045050,hsa-miR-186-5p,Homo sapiens,ACAA2,10449,Homo sapiens,CLASH,Functional MTI (Weak),23622248
332000,MIRT626607,hsa-miR-24-3p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
23540,MIRT029760,hsa-miR-26b-5p,Homo sapiens,ACAA2,10449,Homo sapiens,Microarray,Functional MTI (Weak),19088304
331979,MIRT626593,hsa-miR-30b-3p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
331980,MIRT626593,hsa-miR-30b-3p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
331987,MIRT626597,hsa-miR-30c-1-3p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
331988,MIRT626597,hsa-miR-30c-1-3p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
331985,MIRT626596,hsa-miR-30c-2-3p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
331986,MIRT626596,hsa-miR-30c-2-3p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
331965,MIRT626586,hsa-miR-3122,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
331966,MIRT626586,hsa-miR-3122,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
331977,MIRT626592,hsa-miR-3689a-3p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
331978,MIRT626592,hsa-miR-3689a-3p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
331975,MIRT626591,hsa-miR-3689b-3p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
331976,MIRT626591,hsa-miR-3689b-3p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
331973,MIRT626590,hsa-miR-3689c,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
331974,MIRT626590,hsa-miR-3689c,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
332006,MIRT626612,hsa-miR-383-3p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
332007,MIRT626612,hsa-miR-383-3p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
331963,MIRT626585,hsa-miR-3913-5p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
331964,MIRT626585,hsa-miR-3913-5p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
332001,MIRT626608,hsa-miR-4284,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
331967,MIRT626587,hsa-miR-450a-1-3p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
331968,MIRT626587,hsa-miR-450a-1-3p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
331997,MIRT626604,hsa-miR-4728-5p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
332005,MIRT626611,hsa-miR-5693,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
332002,MIRT626609,hsa-miR-6499-3p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
331959,MIRT626583,hsa-miR-6513-5p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
331960,MIRT626583,hsa-miR-6513-5p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
331958,MIRT626582,hsa-miR-6776-5p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
331971,MIRT626589,hsa-miR-6779-5p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
331972,MIRT626589,hsa-miR-6779-5p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
331969,MIRT626588,hsa-miR-6780a-5p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
331970,MIRT626588,hsa-miR-6780a-5p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
331996,MIRT626603,hsa-miR-6785-5p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
331983,MIRT626595,hsa-miR-6788-5p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
331984,MIRT626595,hsa-miR-6788-5p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
331994,MIRT626601,hsa-miR-6799-5p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
331989,MIRT626598,hsa-miR-6844,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
331990,MIRT626598,hsa-miR-6844,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
331995,MIRT626602,hsa-miR-6883-5p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
331999,MIRT626606,hsa-miR-7106-5p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
331991,MIRT626599,hsa-miR-7977,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
331992,MIRT626599,hsa-miR-7977,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
331961,MIRT626584,hsa-miR-887-5p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
331962,MIRT626584,hsa-miR-887-5p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
332003,MIRT626610,hsa-miR-9-5p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23824327
332004,MIRT626610,hsa-miR-9-5p,Homo sapiens,ACAA2,10449,Homo sapiens,HITS-CLIP,Functional MTI (Weak),23313552
